,title,type,url,description,ratings,recent_views,enrolled
15," Comercio, InmigraciÃ³n y Tipos de Cambio en un Mundo Globalizado | Coursera",Course,https://www.coursera.org/learn/comercio-inmigracion-tipos-de-cambio,"Este es el segundo de los tres cursos que forman parte de la EspecializaciÃ³n en GlobalizaciÃ³n, Crecimiento EconÃ³mico y Estabilidad. Este curso se enfocarÃ¡ en las facetas de la globalizaciÃ³n que afectan las perspectivas y decisiones econÃ³micas de un paÃ­s. La globalizaciÃ³n ha sido recientemente el tema predominante en muchos debates polÃ­ticos, y este curso abordarÃ¡ los determinantes de la globalizaciÃ³n. SerÃ¡ separado en cuatro mÃ³dulos; el primer mÃ³dulo explicarÃ¡ las tasas de cambio. CubrirÃ¡ lo que determina el tipo de cambio y cÃ³mo los diferentes tipos de cambio afectan la economÃ­a y la realidad de las monedas. El segundo mÃ³dulo explorarÃ¡ el comercio, la realidad del libre comercio y lo que le ocurre a la economÃ­a de un paÃ­s con proteccionismo. El tercer mÃ³dulo se incluirÃ¡ en la balanza de pagos, te ayudarÃ¡ a comprender cÃ³mo funcionan las transacciones econÃ³micas entre un paÃ­s y el resto del mundo. El cuarto mÃ³dulo se centrarÃ¡ en InmigraciÃ³n, que es probablemente uno de los temas mÃ¡s controvertidos de la actualidad. ExplicarÃ¡ cÃ³mo la migraciÃ³n afecta a los paÃ­ses de acogida y cubrirÃ¡ las tendencias de migraciÃ³n actuales. El quinto mÃ³dulo pondrÃ¡s todos tus conocimientos en prÃ¡ctica y tendrÃ¡s que analizar cinco variables sobre la economÃ­a espaÃ±ola en dos periodos 2004-2012 y 2013-2018.",77 ratings,"3,200 recent views","2,901 already enrolled"
16, Crea contenido de e-learning con Canva para tus estudiantes,Course,https://www.coursera.org/learn/crea-contenido-e-learning-canva-estudiantes,,,,
17, Create a Budget with Google Sheets,Course,https://www.coursera.org/learn/create-a-budget-with-google-sheets,,,,"10,442 already enrolled"
18,,,,,,,
19,  Creating a Quiz Game using Vanilla JavaScript,Course,https://www.coursera.org/learn/creating-a-quiz-game-using-vanilla-javascript,,,,
20,,,,,,,
21,,,,,,,
22, CrÃ©er du contenu e-learning pour vos Ã©tudiants avec Canva,Course,https://www.coursera.org/learn/creer-contenu-e-learning-etudiants-canva,,,,
23, Curso Completo de Spark con Databricks (Big Data),Course,https://www.coursera.org/learn/curso-completo-spark-databricks,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27, Enhance Organizational Communications with Slack,Course,https://www.coursera.org/learn/enhance-organizational-communications-with-slack,,,,"2,564 already enrolled"
28, FPGA computing systems: Background knowledge and introductory materials | Coursera,Course,https://www.coursera.org/learn/fpga-intro,"This course is for anyone passionate in learning how a hardware component can be adapted at runtime to better respond to users/environment needs. This adaptation can be provided by the designers, or it can be an embedded characteristic of the system itself. These runtime adaptable systems will be implemented by using FPGA technologies.Within this course we are going to provide a basic understanding on how the FPGAs are working and of the rationale behind the choice of them to implement a desired system.

This course aims to teach everyone the basics of FPGA-based reconfigurable computing systems. We cover the basics of how to decide whether or not to use an FPGA and, if this technology will be proven to be the right choice, how to program it.
This is an introductory course meant to guide you through the FPGA world to make you more conscious on the reasons why you may be willing to work with them and in trying to provide you the sense of the work you have to do to be able to gain the advantages you are looking for by using these technologies.

We rely on some extra readings to provide more information on the topic covered in this course.
Please NOTE that most of the time, these documents are provided through the IEEE Xplore Digital Library, which means that, to access them, you have to have a valid IEEE subscriptions, either does by yourself or through your university/company.

The course has no prerequisites and avoids all but the simplest mathematics and it presents technical topics by using analogizes to help also a student without a technical background to get at least a basic understanding on how an FPGA works.
One of the main objectives of this course is to try to democratize the understanding and the access to FPGAs technologies. FPGAs are a terrific example of a powerful technologies that can be used in different domains. Being able to bring this technologies to domain experts and showing them how they can improve their research because of FPGAs, can be seen as the ultimate objective of this course. Once a student completes this course, they will be ready to take more advanced FPGA courses.",224 ratings,"7,411 recent views","13,261 already enrolled"
29, Future Healthcare Payment Models | Coursera,Course,https://www.coursera.org/learn/healthcare-payment-models,"This course will review the drivers of healthcare cost and solutions that have been proposed to address cost, quality and value of health care. Many point blame for high costs on payment models that pay healthcare providers for every service they provide to patients, essentially paying more for volume and service intensity. This is called a Fee for Service (FFS) payment model. Some solutions, arguably the more sustainable solutions, are the combined strategies of new payment models, care management, insurance plan designs, consumer engagement tools, and technology. Using that information we will explore various situations, showcasing coordinated care and payment strategies that can be implemented to improve patient health and the cost of delivery of healthcare services.

By the end of this course, the learner should be able to: 

1. Identify the drivers and trends of healthcare spending from the perspective of various stakeholders, including medical providers, insurers, government and private purchasers and payments
2. Critically assess the impact of strategic and financial approaches that have been put in place by the ACA and the various modifications. 
3. Evaluate how healthcare payment models currently work and the new direction that value-based payment is taking.
4.Identify how financial and non-financial metrics can be appropriately combined to improve a healthcare stakeholdersâ value proposition.",34 ratings,"3,641 recent views","3,724 already enrolled"
30, Gestalte deinen Shop in Facebook Shops mit Canva,Course,https://www.coursera.org/learn/gestalte-shop-facebook-shops-canva,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35, Get started with Facebook Audience Insights,Course,https://www.coursera.org/learn/get-started-facebook-audience-insights,,,,
36," Get, Shape, Combine and Merge the datasets using Power BI",Course,https://www.coursera.org/learn/get-shape-combine-and-merge-the-datasets-using-power-bi,,,,
37, How to combine shapes in Adobe Illustrator,Course,https://www.coursera.org/learn/how-combine-shapes-adobe-illustrator,,,,
38,,,,,,,
39, How to create an API request using Postman,Course,https://www.coursera.org/learn/rapid-api-postman,,,,
40, How to edit and improve a Facebook Ad,Course,https://www.coursera.org/learn/how-edit-improve-facebook-ad,,,,
